departure_airport_name,departure_airport,departure_time,departure_longitude,departure_latitude,arrival_airport,arrival_time,arrival_longitude,arrival_latitude
Nunapitchuk (16A / PPIT),16A,18.054722222222225,-162.44045400000002,60.905591,16A,18.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.188055555555556,-161.8379974,60.77980042,16A,14.37138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.788055555555555,-161.8379974,60.77980042,16A,9.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.92138888888889,-161.8379974,60.77980042,16A,18.104722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.188055555555557,-161.8379974,60.77980042,16A,18.354722222222225,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,17.97138888888889,-162.5240021,60.87440109,16A,18.17138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,12.538055555555555,-161.8379974,60.77980042,16A,12.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.788055555555555,-161.8379974,60.77980042,16A,13.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.438055555555556,-161.8379974,60.77980042,16A,13.904722222222222,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,15.304722222222223,-162.5240021,60.87440109,16A,15.52138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.154722222222222,-161.8379974,60.77980042,16A,14.288055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,10.954722222222221,-161.8379974,60.77980042,16A,11.221388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.02138888888889,-161.8379974,60.77980042,16A,14.571388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.354722222222222,-161.8379974,60.77980042,16A,9.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.854722222222225,-161.8379974,60.77980042,16A,18.22138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.754722222222222,-161.8379974,60.77980042,16A,10.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.188055555555557,-161.8379974,60.77980042,16A,17.804722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.254722222222224,-161.8379974,60.77980042,16A,18.78805555555556,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.938055555555556,-161.8379974,60.77980042,16A,14.138055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.454722222222221,-161.8379974,60.77980042,16A,10.071388888888889,-162.44045400000002,60.905591
Nunapitchuk (16A / PPIT),16A,18.054722222222225,-162.44045400000002,60.905591,16A,18.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.188055555555556,-161.8379974,60.77980042,16A,14.37138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.788055555555555,-161.8379974,60.77980042,16A,9.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.92138888888889,-161.8379974,60.77980042,16A,18.104722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.188055555555557,-161.8379974,60.77980042,16A,18.354722222222225,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,17.97138888888889,-162.5240021,60.87440109,16A,18.17138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,12.538055555555555,-161.8379974,60.77980042,16A,12.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.788055555555555,-161.8379974,60.77980042,16A,13.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.438055555555556,-161.8379974,60.77980042,16A,13.904722222222222,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,15.304722222222223,-162.5240021,60.87440109,16A,15.52138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.154722222222222,-161.8379974,60.77980042,16A,14.288055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,10.954722222222221,-161.8379974,60.77980042,16A,11.221388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.02138888888889,-161.8379974,60.77980042,16A,14.571388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.354722222222222,-161.8379974,60.77980042,16A,9.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.854722222222225,-161.8379974,60.77980042,16A,18.22138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.754722222222222,-161.8379974,60.77980042,16A,10.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.188055555555557,-161.8379974,60.77980042,16A,17.804722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.254722222222224,-161.8379974,60.77980042,16A,18.78805555555556,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.938055555555556,-161.8379974,60.77980042,16A,14.138055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.454722222222221,-161.8379974,60.77980042,16A,10.071388888888889,-162.44045400000002,60.905591
Nunapitchuk (16A / PPIT),16A,18.054722222222225,-162.44045400000002,60.905591,16A,18.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.188055555555556,-161.8379974,60.77980042,16A,14.37138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.788055555555555,-161.8379974,60.77980042,16A,9.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.92138888888889,-161.8379974,60.77980042,16A,18.104722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.188055555555557,-161.8379974,60.77980042,16A,18.354722222222225,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,17.97138888888889,-162.5240021,60.87440109,16A,18.17138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,12.538055555555555,-161.8379974,60.77980042,16A,12.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.788055555555555,-161.8379974,60.77980042,16A,13.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.438055555555556,-161.8379974,60.77980042,16A,13.904722222222222,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,15.304722222222223,-162.5240021,60.87440109,16A,15.52138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.154722222222222,-161.8379974,60.77980042,16A,14.288055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,10.954722222222221,-161.8379974,60.77980042,16A,11.221388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.02138888888889,-161.8379974,60.77980042,16A,14.571388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.354722222222222,-161.8379974,60.77980042,16A,9.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.854722222222225,-161.8379974,60.77980042,16A,18.22138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.754722222222222,-161.8379974,60.77980042,16A,10.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.188055555555557,-161.8379974,60.77980042,16A,17.804722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.254722222222224,-161.8379974,60.77980042,16A,18.78805555555556,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.938055555555556,-161.8379974,60.77980042,16A,14.138055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.454722222222221,-161.8379974,60.77980042,16A,10.071388888888889,-162.44045400000002,60.905591
Nunapitchuk (16A / PPIT),16A,18.054722222222225,-162.44045400000002,60.905591,16A,18.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.188055555555556,-161.8379974,60.77980042,16A,14.37138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.788055555555555,-161.8379974,60.77980042,16A,9.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.92138888888889,-161.8379974,60.77980042,16A,18.104722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.188055555555557,-161.8379974,60.77980042,16A,18.354722222222225,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,17.97138888888889,-162.5240021,60.87440109,16A,18.17138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,12.538055555555555,-161.8379974,60.77980042,16A,12.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.788055555555555,-161.8379974,60.77980042,16A,13.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.438055555555556,-161.8379974,60.77980042,16A,13.904722222222222,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,15.304722222222223,-162.5240021,60.87440109,16A,15.52138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.154722222222222,-161.8379974,60.77980042,16A,14.288055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,10.954722222222221,-161.8379974,60.77980042,16A,11.221388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.02138888888889,-161.8379974,60.77980042,16A,14.571388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.354722222222222,-161.8379974,60.77980042,16A,9.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.854722222222225,-161.8379974,60.77980042,16A,18.22138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.754722222222222,-161.8379974,60.77980042,16A,10.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.188055555555557,-161.8379974,60.77980042,16A,17.804722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.254722222222224,-161.8379974,60.77980042,16A,18.78805555555556,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.938055555555556,-161.8379974,60.77980042,16A,14.138055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.454722222222221,-161.8379974,60.77980042,16A,10.071388888888889,-162.44045400000002,60.905591
Nunapitchuk (16A / PPIT),16A,18.054722222222225,-162.44045400000002,60.905591,16A,18.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.188055555555556,-161.8379974,60.77980042,16A,14.37138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.788055555555555,-161.8379974,60.77980042,16A,9.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.92138888888889,-161.8379974,60.77980042,16A,18.104722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.188055555555557,-161.8379974,60.77980042,16A,18.354722222222225,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,17.97138888888889,-162.5240021,60.87440109,16A,18.17138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,12.538055555555555,-161.8379974,60.77980042,16A,12.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.788055555555555,-161.8379974,60.77980042,16A,13.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.438055555555556,-161.8379974,60.77980042,16A,13.904722222222222,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,15.304722222222223,-162.5240021,60.87440109,16A,15.52138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.154722222222222,-161.8379974,60.77980042,16A,14.288055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,10.954722222222221,-161.8379974,60.77980042,16A,11.221388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.02138888888889,-161.8379974,60.77980042,16A,14.571388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.354722222222222,-161.8379974,60.77980042,16A,9.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.854722222222225,-161.8379974,60.77980042,16A,18.22138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.754722222222222,-161.8379974,60.77980042,16A,10.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.188055555555557,-161.8379974,60.77980042,16A,17.804722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.254722222222224,-161.8379974,60.77980042,16A,18.78805555555556,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.938055555555556,-161.8379974,60.77980042,16A,14.138055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.454722222222221,-161.8379974,60.77980042,16A,10.071388888888889,-162.44045400000002,60.905591
Nunapitchuk (16A / PPIT),16A,18.054722222222225,-162.44045400000002,60.905591,16A,18.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.188055555555556,-161.8379974,60.77980042,16A,14.37138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.788055555555555,-161.8379974,60.77980042,16A,9.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.92138888888889,-161.8379974,60.77980042,16A,18.104722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.188055555555557,-161.8379974,60.77980042,16A,18.354722222222225,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,17.97138888888889,-162.5240021,60.87440109,16A,18.17138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,12.538055555555555,-161.8379974,60.77980042,16A,12.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.788055555555555,-161.8379974,60.77980042,16A,13.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.438055555555556,-161.8379974,60.77980042,16A,13.904722222222222,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,15.304722222222223,-162.5240021,60.87440109,16A,15.52138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.154722222222222,-161.8379974,60.77980042,16A,14.288055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,10.954722222222221,-161.8379974,60.77980042,16A,11.221388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.02138888888889,-161.8379974,60.77980042,16A,14.571388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.354722222222222,-161.8379974,60.77980042,16A,9.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.854722222222225,-161.8379974,60.77980042,16A,18.22138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.754722222222222,-161.8379974,60.77980042,16A,10.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.188055555555557,-161.8379974,60.77980042,16A,17.804722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.254722222222224,-161.8379974,60.77980042,16A,18.78805555555556,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.938055555555556,-161.8379974,60.77980042,16A,14.138055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.454722222222221,-161.8379974,60.77980042,16A,10.071388888888889,-162.44045400000002,60.905591
Nunapitchuk (16A / PPIT),16A,18.054722222222225,-162.44045400000002,60.905591,16A,18.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.188055555555556,-161.8379974,60.77980042,16A,14.37138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.788055555555555,-161.8379974,60.77980042,16A,9.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.92138888888889,-161.8379974,60.77980042,16A,18.104722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.188055555555557,-161.8379974,60.77980042,16A,18.354722222222225,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,17.97138888888889,-162.5240021,60.87440109,16A,18.17138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,12.538055555555555,-161.8379974,60.77980042,16A,12.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.788055555555555,-161.8379974,60.77980042,16A,13.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.438055555555556,-161.8379974,60.77980042,16A,13.904722222222222,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,15.304722222222223,-162.5240021,60.87440109,16A,15.52138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.154722222222222,-161.8379974,60.77980042,16A,14.288055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,10.954722222222221,-161.8379974,60.77980042,16A,11.221388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.02138888888889,-161.8379974,60.77980042,16A,14.571388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.354722222222222,-161.8379974,60.77980042,16A,9.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.854722222222225,-161.8379974,60.77980042,16A,18.22138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.754722222222222,-161.8379974,60.77980042,16A,10.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.188055555555557,-161.8379974,60.77980042,16A,17.804722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.254722222222224,-161.8379974,60.77980042,16A,18.78805555555556,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.938055555555556,-161.8379974,60.77980042,16A,14.138055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.454722222222221,-161.8379974,60.77980042,16A,10.071388888888889,-162.44045400000002,60.905591
Nunapitchuk (16A / PPIT),16A,18.054722222222225,-162.44045400000002,60.905591,16A,18.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.188055555555556,-161.8379974,60.77980042,16A,14.37138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.788055555555555,-161.8379974,60.77980042,16A,9.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.92138888888889,-161.8379974,60.77980042,16A,18.104722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.188055555555557,-161.8379974,60.77980042,16A,18.354722222222225,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,17.97138888888889,-162.5240021,60.87440109,16A,18.17138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,12.538055555555555,-161.8379974,60.77980042,16A,12.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.788055555555555,-161.8379974,60.77980042,16A,13.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.438055555555556,-161.8379974,60.77980042,16A,13.904722222222222,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,15.304722222222223,-162.5240021,60.87440109,16A,15.52138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.154722222222222,-161.8379974,60.77980042,16A,14.288055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,10.954722222222221,-161.8379974,60.77980042,16A,11.221388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.02138888888889,-161.8379974,60.77980042,16A,14.571388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.354722222222222,-161.8379974,60.77980042,16A,9.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.854722222222225,-161.8379974,60.77980042,16A,18.22138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.754722222222222,-161.8379974,60.77980042,16A,10.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.188055555555557,-161.8379974,60.77980042,16A,17.804722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.254722222222224,-161.8379974,60.77980042,16A,18.78805555555556,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.938055555555556,-161.8379974,60.77980042,16A,14.138055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.454722222222221,-161.8379974,60.77980042,16A,10.071388888888889,-162.44045400000002,60.905591
Nunapitchuk (16A / PPIT),16A,18.054722222222225,-162.44045400000002,60.905591,16A,18.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.188055555555556,-161.8379974,60.77980042,16A,14.37138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.788055555555555,-161.8379974,60.77980042,16A,9.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.92138888888889,-161.8379974,60.77980042,16A,18.104722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.188055555555557,-161.8379974,60.77980042,16A,18.354722222222225,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,17.97138888888889,-162.5240021,60.87440109,16A,18.17138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,12.538055555555555,-161.8379974,60.77980042,16A,12.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.788055555555555,-161.8379974,60.77980042,16A,13.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.438055555555556,-161.8379974,60.77980042,16A,13.904722222222222,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,15.304722222222223,-162.5240021,60.87440109,16A,15.52138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.154722222222222,-161.8379974,60.77980042,16A,14.288055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,10.954722222222221,-161.8379974,60.77980042,16A,11.221388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.02138888888889,-161.8379974,60.77980042,16A,14.571388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.354722222222222,-161.8379974,60.77980042,16A,9.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.854722222222225,-161.8379974,60.77980042,16A,18.22138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.754722222222222,-161.8379974,60.77980042,16A,10.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.188055555555557,-161.8379974,60.77980042,16A,17.804722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.254722222222224,-161.8379974,60.77980042,16A,18.78805555555556,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.938055555555556,-161.8379974,60.77980042,16A,14.138055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.454722222222221,-161.8379974,60.77980042,16A,10.071388888888889,-162.44045400000002,60.905591
Nunapitchuk (16A / PPIT),16A,18.054722222222225,-162.44045400000002,60.905591,16A,18.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.188055555555556,-161.8379974,60.77980042,16A,14.37138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.788055555555555,-161.8379974,60.77980042,16A,9.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.92138888888889,-161.8379974,60.77980042,16A,18.104722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.188055555555557,-161.8379974,60.77980042,16A,18.354722222222225,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,17.97138888888889,-162.5240021,60.87440109,16A,18.17138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,12.538055555555555,-161.8379974,60.77980042,16A,12.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.788055555555555,-161.8379974,60.77980042,16A,13.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.438055555555556,-161.8379974,60.77980042,16A,13.904722222222222,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,15.304722222222223,-162.5240021,60.87440109,16A,15.52138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.154722222222222,-161.8379974,60.77980042,16A,14.288055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,10.954722222222221,-161.8379974,60.77980042,16A,11.221388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.02138888888889,-161.8379974,60.77980042,16A,14.571388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.354722222222222,-161.8379974,60.77980042,16A,9.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.854722222222225,-161.8379974,60.77980042,16A,18.22138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.754722222222222,-161.8379974,60.77980042,16A,10.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.188055555555557,-161.8379974,60.77980042,16A,17.804722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.254722222222224,-161.8379974,60.77980042,16A,18.78805555555556,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.938055555555556,-161.8379974,60.77980042,16A,14.138055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.454722222222221,-161.8379974,60.77980042,16A,10.071388888888889,-162.44045400000002,60.905591
Nunapitchuk (16A / PPIT),16A,18.054722222222225,-162.44045400000002,60.905591,16A,18.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.188055555555556,-161.8379974,60.77980042,16A,14.37138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.788055555555555,-161.8379974,60.77980042,16A,9.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.92138888888889,-161.8379974,60.77980042,16A,18.104722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.188055555555557,-161.8379974,60.77980042,16A,18.354722222222225,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,17.97138888888889,-162.5240021,60.87440109,16A,18.17138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,12.538055555555555,-161.8379974,60.77980042,16A,12.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.788055555555555,-161.8379974,60.77980042,16A,13.988055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.438055555555556,-161.8379974,60.77980042,16A,13.904722222222222,-162.44045400000002,60.905591
Kasigluk (Z09 / PFKA),PFKA,15.304722222222223,-162.5240021,60.87440109,16A,15.52138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.154722222222222,-161.8379974,60.77980042,16A,14.288055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,10.954722222222221,-161.8379974,60.77980042,16A,11.221388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,14.02138888888889,-161.8379974,60.77980042,16A,14.571388888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.354722222222222,-161.8379974,60.77980042,16A,9.704722222222221,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.854722222222225,-161.8379974,60.77980042,16A,18.22138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.754722222222222,-161.8379974,60.77980042,16A,10.12138888888889,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,17.188055555555557,-161.8379974,60.77980042,16A,17.804722222222225,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,18.254722222222224,-161.8379974,60.77980042,16A,18.78805555555556,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,13.938055555555556,-161.8379974,60.77980042,16A,14.138055555555555,-162.44045400000002,60.905591
Bethel (BET / PABE),PABE,9.454722222222221,-161.8379974,60.77980042,16A,10.071388888888889,-162.44045400000002,60.905591
Nunapitchuk (16A / PPIT),16A,18.054722222222225,-162.44045400000002,60.905591,16A,18.12138888888889,-162.44045400000002,60.905591
